TIME,CPU_LOAD,GPU_LOAD,MEM,SWAP,CURR,TEMP_CPU,TEMP_GPU
1670287929.0028179,90.25,2,88.60917073170732,0.0288,3304,44.0,42.0
1670287929.5112956,69.5,0,88.42351219512196,0.0288,3304,43.5,42.0
1670287930.0515172,71.5,0,88.46214634146341,0.0288,3304,44.0,42.0
1670287930.5215003,63.5,0,88.41775609756097,0.0288,3304,43.5,42.5
1670287931.0511777,69.75,0,88.41736585365854,0.0288,3304,44.0,42.0
1670287931.5551784,77.25,0,88.43629268292683,0.0288,3304,43.5,44.5
1670287932.1109862,62.0,0,88.43629268292683,0.0288,3304,43.0,44.0
1670287932.5845828,66.75,0,88.40839024390243,0.0288,3304,44.0,44.0
1670287933.0395143,67.0,0,88.40946341463415,0.0288,3304,43.5,44.5
1670287933.5783775,67.25,0,88.44731707317072,0.0288,3304,43.5,44.5
1670287934.1242654,62.25,0,88.4269268292683,0.0288,3304,43.5,44.0
1670287934.6107626,68.75,0,88.39756097560976,0.0288,3304,42.5,44.5
1670287935.1073143,68.75,0,88.41717073170732,0.0288,3304,42.5,44.5
1670287935.646906,73.25,0,88.44331707317073,0.0288,3304,43.5,44.0
1670287936.1126661,64.5,0,88.40058536585366,0.0288,3304,43.0,44.5
1670287936.6612067,67.25,0,88.43482926829267,0.0288,3304,43.0,44.0
1670287937.159155,67.5,0,88.46702439024389,0.0288,3304,43.5,44.0
1670287937.7071412,61.0,0,88.4258536585366,0.0288,3304,43.0,44.0
1670287938.1999571,67.5,0,88.38917073170731,0.0288,3304,43.0,44.5
1670287938.6999493,67.25,0,88.39785365853659,0.0288,3304,43.0,44.0
1670287939.181941,64.75,0,88.4500487804878,0.0288,3304,43.5,44.5
1670287939.6735256,63.0,0,88.39336585365854,0.0288,3304,42.5,44.0
1670287940.1707642,67.0,0,88.3950243902439,0.0288,3304,43.0,44.0
1670287940.7530642,68.25,0,88.42165853658537,0.0288,3304,43.5,44.0
1670287941.229537,61.75,0,88.4449756097561,0.0288,3304,43.0,44.5
1670287941.730502,66.5,0,88.40985365853659,0.0288,3304,43.5,44.0
1670287942.2376168,66.5,0,88.4020487804878,0.0288,3304,43.5,44.0
1670287942.7558017,66.5,0,88.44087804878049,0.0288,3304,43.0,44.0
1670287943.2397058,62.25,0,88.41131707317074,0.0288,3304,42.5,44.0
1670287943.7490795,66.75,0,88.40985365853659,0.0288,3304,43.0,44.0
1670287944.2334204,68.75,0,88.41151219512196,0.0288,3304,43.0,44.0
1670287944.7160378,63.25,0,88.45395121951219,0.0288,3304,43.5,44.0
1670287945.2504153,66.0,0,88.39639024390243,0.0288,3304,43.0,44.0
1670287945.7722754,67.75,0,88.38809756097561,0.0288,3304,43.0,44.0
1670287946.276777,78.25,0,88.35219512195121,0.0289,3304,43.5,44.5
1670287946.8131416,62.75,0,88.30643902439024,0.0289,3304,43.0,44.5
1670287947.3067,66.25,0,88.30692682926829,0.0289,3304,42.5,44.0
1670287947.8165698,67.75,0,88.33034146341463,0.0289,3304,42.5,44.0
1670287948.3300357,64.0,0,88.35931707317073,0.0289,3304,43.5,44.5
1670287948.817474,64.75,0,88.32487804878049,0.0289,3304,43.0,44.0
1670287949.29259,67.5,0,88.3290731707317,0.0289,3304,43.5,44.0
1670287949.7883306,68.0,0,88.32517073170732,0.0289,3304,43.0,44.0
1670287950.3194394,61.75,0,88.33414634146341,0.0289,3304,43.5,44.0
1670287950.8281386,66.75,0,88.30136585365852,0.0289,3304,43.5,44.0
1670287951.3429918,68.75,0,88.31219512195122,0.0289,3304,43.0,44.0
1670287951.8760781,67.25,0,88.35648780487804,0.0289,3304,43.5,44.0
1670287952.37337,61.75,0,88.30351219512195,0.0289,3304,43.0,44.0
1670287952.873901,68.0,0,88.33541463414633,0.0289,3304,42.5,44.0
1670287953.3661082,69.25,0,88.31092682926828,0.0289,3304,43.0,44.0
1670287953.912765,63.5,0,88.35970731707317,0.0289,3304,43.5,44.0
1670287954.4044325,63.0,0,88.3060487804878,0.0289,3304,42.5,44.5
1670287954.8936565,68.75,0,88.30712195121951,0.0289,3304,43.0,44.0
1670287955.4077911,67.5,0,88.35463414634145,0.0289,3304,43.0,44.0
1670287955.9381268,63.75,0,88.3709268292683,0.0289,3304,43.0,44.0
1670287956.4162924,67.75,0,88.3339512195122,0.0289,3304,43.0,44.0
1670287956.9147959,81.0,0,88.30126829268292,0.029050000000000003,3304,43.5,44.5
1670287957.4248242,67.5,0,88.35346341463415,0.029050000000000003,3304,43.5,44.5
1670287957.900502,72.5,0,88.33453658536585,0.029050000000000003,3304,43.0,44.0
1670287958.4598708,86.25,0,88.50360975609756,0.029050000000000003,3304,43.0,44.5
1670287958.9713094,91.25,0,88.47473170731708,0.029050000000000003,3304,44.0,42.0
1670287959.4965494,64.0,0,88.38731707317073,0.029050000000000003,3304,43.0,42.0
1670287959.9821906,72.5,0,88.36839024390244,0.029050000000000003,3304,43.0,42.5
1670287960.4896579,67.5,0,88.37853658536585,0.029050000000000003,3304,43.0,42.0
1670287961.0026064,67.25,0,88.39521951219513,0.029050000000000003,3304,43.5,42.0
1670287961.5109882,66.75,0,88.34078048780488,0.029050000000000003,3304,42.5,42.0
1670287962.028926,67.25,0,88.35941463414633,0.029050000000000003,3304,43.0,42.0
1670287962.5496807,76.0,0,88.35258536585366,0.029050000000000003,3304,43.0,41.5
1670287963.0437744,64.5,0,88.37863414634145,0.029050000000000003,3304,43.0,42.5
1670287963.5305479,74.0,0,88.36087804878049,0.029050000000000003,3304,43.5,42.0
1670287964.0461545,67.25,0,88.33521951219512,0.029050000000000003,3304,43.0,42.0
1670287964.5559788,67.25,0,88.36536585365855,0.029050000000000003,3304,43.0,42.0
1670287965.0745356,63.5,0,88.38126829268292,0.029050000000000003,3304,43.0,41.5
1670287965.566102,67.25,0,88.36302439024391,0.029050000000000003,3304,42.5,44.0
1670287966.0731716,67.0,0,88.34829268292683,0.029050000000000003,3304,43.0,44.0
1670287966.6292868,67.75,0,88.40419512195122,0.029050000000000003,3304,43.0,44.0
1670287967.1128998,62.5,0,88.3410731707317,0.029050000000000003,3304,43.0,44.0
1670287967.6044765,66.5,0,88.35365853658537,0.029050000000000003,3304,42.5,44.0
1670287968.115979,69.0,0,88.35131707317073,0.029050000000000003,3304,43.0,44.0
1670287968.662406,64.5,0,88.4018536585366,0.029050000000000003,3304,43.0,44.0
1670287969.1582813,63.75,0,88.35063414634146,0.029050000000000003,3304,43.0,44.0
1670287969.6617079,67.25,0,88.36019512195122,0.029050000000000003,3304,42.5,44.0
1670287970.1653903,69.25,0,88.37268292682927,0.029050000000000003,3304,43.0,44.5
1670287970.6914334,61.75,0,88.38478048780487,0.029050000000000003,3304,43.0,44.5
1670287971.1673455,68.25,0,88.34468292682926,0.029050000000000003,3304,42.5,44.0
1670287971.6861115,67.75,0,88.34741463414633,0.029050000000000003,3304,43.0,44.0
1670287972.2211323,66.5,0,88.3980487804878,0.029050000000000003,3304,42.5,44.5
1670287972.6640975,61.0,0,88.35239024390243,0.029050000000000003,3304,42.5,44.0
1670287973.197466,68.0,0,88.34360975609756,0.029050000000000003,3304,43.0,44.0
1670287973.6932616,68.25,0,88.37082926829268,0.029050000000000003,3304,43.0,44.0
1670287974.2457957,63.25,0,88.4010731707317,0.029050000000000003,3304,43.0,44.0
1670287974.710771,65.25,0,88.34517073170731,0.029050000000000003,3304,42.5,44.0
1670287975.227339,66.75,0,88.36517073170732,0.029050000000000003,3304,43.0,44.0
1670287975.8036246,71.25,0,88.41014634146342,0.029050000000000003,3304,43.0,44.0
1670287976.2848463,66.25,0,88.43921951219512,0.029050000000000003,3304,42.5,44.0
1670287976.7925127,67.75,0,88.40175609756098,0.029050000000000003,3304,42.5,44.0
1670287977.2740557,66.25,0,88.40741463414633,0.029050000000000003,3304,42.5,44.0
1670287977.7910004,64.75,0,88.44936585365853,0.029050000000000003,3304,43.0,44.5
1670287978.269763,62.75,0,88.4100487804878,0.029050000000000003,3304,42.5,44.0
1670287978.7918692,67.5,0,88.42556097560976,0.029050000000000003,3304,43.0,44.0
1670287979.296827,69.25,0,88.40965853658537,0.029050000000000003,3304,42.5,44.0
1670287979.8284094,62.75,0,88.45375609756097,0.029050000000000003,3304,43.0,44.0
1670287980.3357456,66.5,0,88.40878048780489,0.029050000000000003,3304,43.0,44.0
1670287980.8308446,65.75,0,88.4220487804878,0.029050000000000003,3304,43.0,44.0
1670287981.3528538,67.5,0,88.44800000000001,0.029050000000000003,3304,43.0,44.0
1670287981.8704157,62.75,0,88.42321951219512,0.029050000000000003,3304,42.5,44.0
1670287982.354544,66.0,0,88.37375609756097,0.029050000000000003,3304,42.5,44.0
1670287982.877011,69.25,0,88.41463414634147,0.029050000000000003,3304,42.5,44.0
1670287983.3995297,65.5,0,88.44165853658536,0.029050000000000003,3304,43.0,44.0
1670287983.8911986,62.25,0,88.40126829268293,0.029050000000000003,3304,42.5,43.5
1670287984.4208517,67.25,0,88.3849756097561,0.029050000000000003,3304,43.0,44.0
1670287984.9570796,67.25,0,88.42429268292683,0.029050000000000003,3304,42.5,44.0
1670287985.442874,63.5,0,88.43219512195122,0.029050000000000003,3304,43.5,44.0
1670287985.913581,66.75,0,88.42419512195121,0.029050000000000003,3304,42.5,43.5
1670287986.4544468,70.0,0,88.40731707317073,0.029050000000000003,3304,43.0,44.0
1670287986.9848313,68.5,0,88.40214634146342,0.029050000000000003,3304,43.0,44.0
1670287987.5058744,61.5,0,88.36009756097562,0.029050000000000003,3304,42.5,44.0
1670287987.976876,94.5,0,88.39239024390244,0.029050000000000003,3304,44.5,44.5
1670287988.4913747,97.5,0,88.40575609756097,0.029050000000000003,3304,44.5,45.0
1670287988.9683468,94.5,0,88.43678048780488,0.029050000000000003,3305,44.5,44.5
1670287989.482733,97.0,0,88.41326829268293,0.029050000000000003,3305,44.5,44.5
1670287989.9721708,92.5,0,88.41024390243902,0.029050000000000003,3305,44.5,44.5
1670287990.639949,96.0,0,88.41658536585366,0.029050000000000003,3305,44.0,44.5
1670287991.1394196,97.0,0,88.42975609756097,0.029050000000000003,3305,44.5,45.0
1670287991.5889657,98.5,0,88.39775609756097,0.029050000000000003,3305,44.5,44.5
1670287992.1351283,95.75,0,88.4110243902439,0.029050000000000003,3305,44.0,44.5
1670287992.6409035,97.0,0,88.41814634146341,0.029050000000000003,3305,45.0,44.5
1670287993.133603,94.75,0,88.41746341463414,0.029050000000000003,3305,45.0,45.0
1670287993.6920433,96.0,0,88.40946341463415,0.029050000000000003,3305,45.0,45.0
1670287994.1291726,96.5,0,88.42419512195121,0.029050000000000003,3305,44.5,45.0
1670287994.661908,95.5,0,88.44448780487805,0.029050000000000003,3305,44.0,44.5
1670287995.150313,96.5,0,88.40907317073172,0.029050000000000003,3305,45.5,45.0
1670287995.7283232,97.0,0,88.40097560975609,0.029050000000000003,3305,44.0,45.0
1670287996.2043257,97.5,0,88.42136585365854,0.029050000000000003,3305,44.5,44.5
1670287996.7679627,94.5,0,88.42673170731707,0.029050000000000003,3305,45.0,45.0
1670287997.2744474,97.75,0,88.42156097560976,0.029050000000000003,3305,44.5,45.0
1670287997.7895803,94.25,0,88.40380487804877,0.029050000000000003,3305,45.5,45.0
1670287998.3357313,95.5,0,88.42497560975609,0.029050000000000003,3305,44.5,45.0
1670287998.8666828,94.75,0,88.42839024390244,0.029050000000000003,3305,44.5,45.0
1670287999.3859591,95.5,0,88.41531707317073,0.029050000000000003,3305,43.5,44.5
1670287999.9053366,97.0,0,88.38546341463415,0.029050000000000003,3305,44.5,44.5
1670288000.414555,91.25,0,88.41082926829267,0.029050000000000003,3305,44.5,45.0
1670288000.9190404,96.25,0,88.4271219512195,0.029050000000000003,3305,44.5,44.5
1670288001.503419,98.0,0,88.41580487804877,0.029050000000000003,3305,45.0,44.5
1670288001.9581249,98.5,0,88.41160975609756,0.029050000000000003,3305,44.5,45.0
1670288002.526576,97.25,0,88.452,0.029050000000000003,3305,44.5,45.0
1670288002.983264,95.0,0,88.44029268292682,0.029050000000000003,3305,44.5,45.0
1670288003.5832155,94.5,0,88.42575609756096,0.029050000000000003,3305,44.0,44.5
1670288004.0958931,97.0,0,88.44351219512195,0.029050000000000003,3305,44.5,45.0
1670288004.5656419,97.0,0,88.45414634146341,0.029050000000000003,3305,45.0,44.5
1670288005.0544143,93.5,0,88.42956097560976,0.029050000000000003,3305,44.5,45.0
1670288005.6258135,98.0,0,88.4529756097561,0.029050000000000003,3305,45.0,45.0
1670288006.167473,96.5,0,88.42848780487806,0.029050000000000003,3305,45.0,45.0
1670288006.6196656,94.25,0,88.43756097560976,0.029050000000000003,3305,44.5,45.0
1670288007.1123464,96.25,0,88.42956097560976,0.029050000000000003,3305,44.5,45.0
1670288007.6917672,93.5,0,88.42536585365853,0.029050000000000003,3305,44.5,44.5
1670288008.1711411,97.75,0,88.44351219512195,0.029050000000000003,3305,44.5,45.0
1670288008.6853273,95.0,0,88.44390243902438,0.029050000000000003,3305,44.5,45.0
1670288009.223827,97.5,0,88.42156097560976,0.029050000000000003,3305,44.5,45.0
1670288009.8496628,94.0,0,88.43082926829268,0.029050000000000003,3305,45.5,45.0
1670288010.295006,98.5,0,88.44556097560977,0.029050000000000003,3305,44.5,45.0
1670288010.8057344,95.0,0,88.4630243902439,0.029050000000000003,3305,45.0,45.0
1670288011.3108804,94.5,0,88.41873170731708,0.029050000000000003,3305,45.0,45.0
1670288011.8299432,95.0,0,88.46604878048781,0.029050000000000003,3305,44.5,45.0
1670288012.3436964,95.5,0,88.45151219512195,0.029050000000000003,3305,44.5,45.0
1670288012.8897583,94.5,0,88.42497560975609,0.029050000000000003,3305,44.5,45.0
1670288013.3949542,98.0,0,88.4400975609756,0.029050000000000003,3305,44.0,45.0
1670288013.8587222,95.0,0,88.43980487804878,0.029050000000000003,3305,44.5,45.0
1670288014.4514744,91.25,0,88.61531707317073,0.029050000000000003,3305,44.0,44.5
1670288014.9619346,83.0,0,88.51873170731707,0.029050000000000003,3305,44.0,45.0
1670288015.4365237,89.5,0,88.36809756097561,0.029050000000000003,3305,43.5,42.5
1670288015.9472437,67.75,0,88.3770731707317,0.029050000000000003,3305,43.0,42.0
1670288016.4650314,66.0,0,88.43082926829268,0.029050000000000003,3305,43.5,45.0
1670288016.992141,61.75,0,88.41073170731707,0.029050000000000003,3305,43.5,44.5
1670288017.444484,71.0,0,88.39229268292684,0.029050000000000003,3305,43.0,44.5
1670288018.0120058,92.25,0,87.81248780487805,0.0291,3305,44.5,42.5
1670288018.4677937,85.25,0,87.81024390243903,0.02915,3305,43.5,42.5
1670288019.008327,69.5,0,87.81648780487805,0.02915,3305,43.0,42.0
1670288019.4857028,75.0,0,87.78653658536585,0.0292,3305,42.5,44.5
1670288020.0230627,86.25,0,87.84029268292683,0.0292,3305,45.0,44.5
1670288020.569459,81.75,44,87.98117073170731,0.0292,3305,43.0,42.0
1670288021.071371,82.5,31,90.21834146341463,0.0292,3305,46.5,44.0
1670288021.5732005,87.0,0,90.37424390243902,0.0292,3305,43.5,43.0
1670288022.0862782,90.25,0,90.40253658536585,0.0292,3305,43.5,42.5
1670288022.5848289,73.25,0,90.19248780487806,0.0292,3305,43.5,42.5
1670288023.076869,73.5,0,90.20117073170731,0.0292,3305,43.5,42.0
1670288023.5988379,68.5,0,90.19863414634146,0.0292,3305,43.0,44.5
1670288024.1167672,64.25,0,90.224,0.0292,3305,43.0,44.0
1670288024.604975,70.25,0,90.19307317073171,0.0292,3305,43.5,44.0
1670288025.1031673,66.75,0,90.1948292682927,0.0292,3305,43.0,44.5
1670288025.622998,78.75,0,90.20907317073171,0.0292,3305,44.0,44.5
1670288026.1757407,62.25,0,90.19131707317072,0.0292,3305,43.5,44.0
1670288026.671048,67.5,0,90.18712195121952,0.0292,3305,43.0,44.0
1670288027.1797788,68.75,0,90.17385365853659,0.0292,3305,43.5,44.0
1670288027.6883113,64.75,0,90.22751219512195,0.0292,3305,43.5,44.5
1670288028.2009792,64.0,0,90.17531707317073,0.0292,3305,43.0,44.0
1670288028.67769,79.5,0,90.1408780487805,0.02925,3305,45.0,44.5
1670288029.1468573,68.0,0,90.13463414634147,0.02925,3305,43.5,44.5
1670288029.722742,61.5,0,90.13639024390244,0.02925,3305,43.5,44.5
1670288030.2049267,66.5,0,90.09551219512196,0.02925,3305,43.0,44.0
1670288030.7254646,68.75,0,90.10536585365854,0.02925,3305,42.5,44.5
1670288031.2388752,67.25,0,90.16,0.02925,3305,43.0,44.5
1670288031.7199106,63.75,0,90.12029268292683,0.02925,3305,43.0,44.5
1670288032.2067509,68.25,0,90.1110243902439,0.02925,3305,43.0,44.5
1670288032.7172325,67.75,0,90.13746341463414,0.02925,3305,43.0,44.5
1670288033.2667894,64.0,0,90.1760975609756,0.02925,3305,43.5,44.5
1670288033.7346563,66.0,0,90.116,0.02925,3305,43.0,44.5
1670288034.250696,67.5,0,90.14468292682926,0.02925,3305,43.0,44.5
1670288034.775463,68.75,0,90.16253658536584,0.02925,3305,43.5,44.5
1670288035.3027856,60.5,0,90.1420487804878,0.02925,3305,42.5,44.0
1670288035.8210154,69.25,0,90.11560975609756,0.02925,3305,42.5,44.5
1670288036.3090668,68.25,0,90.12273170731707,0.02925,3305,42.5,44.5
1670288036.8082342,65.75,0,90.1720975609756,0.02925,3305,43.0,44.5
1670288037.3189526,63.5,0,90.10702439024391,0.02925,3305,43.0,44.0
1670288037.789527,68.0,0,90.10682926829269,0.02925,3305,42.5,44.0
1670288038.2917194,67.75,0,90.12878048780489,0.02925,3305,43.0,44.5
1670288038.8697288,63.25,0,90.17570731707318,0.02925,3305,43.0,44.5
1670288039.3433268,67.0,0,90.11365853658536,0.02925,3305,42.5,44.0
1670288039.8602164,66.25,0,90.12878048780489,0.02925,3305,43.0,44.5
1670288040.3365622,68.25,0,90.17073170731707,0.02925,3305,43.5,44.5
1670288040.8920221,60.5,0,90.1289756097561,0.02925,3305,43.0,44.5
1670288041.3237529,68.0,0,90.10858536585366,0.02925,3305,43.0,44.0
1670288041.857603,68.5,0,90.09873170731707,0.02925,3305,42.5,44.0
1670288042.3806617,64.0,0,90.1569756097561,0.02925,3305,43.0,44.5
1670288042.9438043,64.75,0,90.1140487804878,0.02925,3305,42.5,44.0
1670288043.4313412,68.25,0,90.10780487804878,0.02925,3305,42.5,44.0
1670288043.9531274,69.25,0,90.14965853658536,0.02925,3305,43.0,44.5
1670288044.4730465,61.5,0,90.16058536585366,0.02925,3305,42.5,44.0
1670288044.9550748,67.5,0,90.11063414634147,0.02925,3305,42.5,44.5
1670288045.4380836,68.0,0,90.12224390243902,0.02925,3305,43.0,44.0
1670288045.9238281,67.25,0,90.1770731707317,0.02925,3305,43.5,44.0
1670288046.4486284,63.0,0,90.1219512195122,0.02925,3305,42.5,44.0
1670288046.9829783,67.25,0,90.1449756097561,0.02925,3305,42.5,44.0
1670288047.4824615,68.75,0,90.15873170731707,0.02925,3305,43.0,44.5
1670288047.939528,79.25,0,90.20029268292683,0.02925,3305,43.5,45.0
1670288048.4647832,81.5,0,90.13970731707317,0.02925,3305,43.0,44.5
1670288048.9655974,85.0,0,90.1890731707317,0.02925,3305,44.5,44.5
1670288049.4641397,89.25,0,90.21463414634147,0.02925,3305,43.5,44.5
1670288050.0060902,98.0,0,90.2010731707317,0.02925,3305,44.0,45.0
1670288050.5034997,96.5,0,90.19248780487806,0.02925,3305,44.0,44.5
1670288051.1157837,96.0,0,90.19853658536586,0.02925,3305,44.0,45.0
1670288051.6000068,97.0,0,90.21463414634147,0.02925,3305,45.0,44.5
1670288052.109497,95.0,0,90.2129756097561,0.02925,3305,44.5,45.0
1670288052.6374183,94.5,0,90.19287804878049,0.02925,3305,44.5,44.5
1670288053.104613,97.0,0,90.19814634146341,0.02925,3305,44.0,45.0
1670288053.6476104,96.5,0,90.20048780487805,0.02925,3305,45.0,45.0
1670288054.1288762,96.5,0,90.17814634146342,0.02925,3305,44.5,45.0
1670288054.6770298,94.25,0,90.18497560975611,0.02925,3305,44.5,45.0
1670288055.1651125,99.5,0,90.20156097560975,0.02925,3305,44.5,44.5
1670288055.657961,93.0,0,90.1910243902439,0.02925,3305,44.5,45.0
1670288056.276074,96.5,0,90.19892682926829,0.02925,3305,44.0,45.0
1670288056.7149966,96.0,0,90.19951219512195,0.02925,3306,44.5,44.5
1670288057.233619,95.5,0,90.2199024390244,0.02925,3306,45.0,45.0
1670288057.7566953,97.0,0,90.19570731707317,0.02925,3306,44.0,45.0
